Město,stat_canonical,country_en,country_en_ok
-,,,FALSE
-,,,FALSE
-,,,FALSE
-,,,FALSE
-,,,FALSE
-,,,FALSE
-,,,FALSE
-,,,FALSE
-,,,FALSE
-,,,FALSE
-,,,FALSE
-,,,FALSE
-,,,FALSE
-,,,FALSE
-,,,FALSE
-,,,FALSE
-,,,FALSE
-,,,FALSE
-,,,FALSE
-,,,FALSE
-,,,FALSE
-,,,FALSE
-,,,FALSE
-,,,FALSE
-,,,FALSE
-,,,FALSE
-,,,FALSE
-,,,FALSE
-,,,FALSE
-,,,FALSE
-,,,FALSE
-,,,FALSE
-,,,FALSE
-,,,FALSE
-,,,FALSE
-,,,FALSE
-,,,FALSE
-,,,FALSE
-,,,FALSE
-,,,FALSE
-,,,FALSE
-,,,FALSE
-,,,FALSE
-,,,FALSE
-,,,FALSE
-,,,FALSE
-,,,FALSE
-,,,FALSE
-,,,FALSE
-,,,FALSE
-,,,FALSE
-,,,FALSE
-,,,FALSE
-,,,FALSE
-,,,FALSE
-,,,FALSE
-,,,FALSE
-,,,FALSE
-,,,FALSE
-,,,FALSE
-,,,FALSE
-,,,FALSE
-,,,FALSE
-,,,FALSE
-,,,FALSE
-,,,FALSE
-,,,FALSE
,Austrálie,Australia,TRUE
Brusel,Belgie,Belgium,TRUE
Brusel,Belgie,Belgium,TRUE
Brugge,Belgie,Belgium,TRUE
Mostar,Bosna a Hercegovina,Bosnia and Herzegovina,TRUE
,Bosna a Hercegovina,Bosnia and Herzegovina,TRUE
Sarajevo,Bosna a Hercegovina,Bosnia and Herzegovina,TRUE
Nessebar,Bulharsko,Bulgaria,TRUE
,Bulharsko,Bulgaria,TRUE
,Bulharsko,Bulgaria,TRUE
,Bulharsko,Bulgaria,TRUE
,Bulharsko,Bulgaria,TRUE
,Bulharsko,Bulgaria,TRUE
,Bulharsko,Bulgaria,TRUE
,Bulharsko,Bulgaria,TRUE
Praha,Česká republika,Czechia,TRUE
Šumava,Česká republika,Czechia,TRUE
Šumava,Česká republika,Czechia,TRUE
Praha,Česká republika,Czechia,TRUE
Jindřichův Hradec,Česká republika,Czechia,TRUE
Svatý Florian,Česká republika,Czechia,TRUE
Dětenice,Česká republika,Czechia,TRUE
Praha,Česká republika,Czechia,TRUE
Karlštejn,Česká republika,Czechia,TRUE
Karlštejn,Česká republika,Czechia,TRUE
Hluboká,Česká republika,Czechia,TRUE
Český Krumlov,Česká republika,Czechia,TRUE
České Budějovice,Česká republika,Czechia,TRUE
Karlova Studánka,Česká republika,Czechia,TRUE
Těšín,Česká republika,Czechia,TRUE
Český Krumlov,Česká republika,Czechia,TRUE
Praha,Česká republika,Czechia,TRUE
,Česká republika,Czechia,TRUE
Loket,Česká republika,Czechia,TRUE
Bouzov,Česká republika,Czechia,TRUE
Solaň,Česká republika,Czechia,TRUE
Priessnitzovy lázně,Česká republika,Czechia,TRUE
Tábor,Česká republika,Czechia,TRUE
Jindřichův Hradec,Česká republika,Czechia,TRUE
Luhačovice,Česká republika,Czechia,TRUE
Luhačovice,Česká republika,Czechia,TRUE
Cheb,Česká republika,Czechia,TRUE
Cheb,Česká republika,Czechia,TRUE
Těšín,Česká republika,Czechia,TRUE
Mariánské Lázně,Česká republika,Czechia,TRUE
Ústí nad Labem,Česká republika,Czechia,TRUE
Šternberk,Česká republika,Czechia,TRUE
,Česká republika,Czechia,TRUE
,Česká republika,Czechia,TRUE
Praha,Česká republika,Czechia,TRUE
Praha,Česká republika,Czechia,TRUE
Plumlov,Česká republika,Czechia,TRUE
Praha,Česká republika,Czechia,TRUE
Brno,Česká republika,Czechia,TRUE
Tábor,Česká republika,Czechia,TRUE
Praha,Česká republika,Czechia,TRUE
Lednice,Česká republika,Czechia,TRUE
,Česká republika,Czechia,TRUE
,Česká republika,Czechia,TRUE
,Česká republika,Czechia,TRUE
Milotice,Česká republika,Czechia,TRUE
Hluboká nad Vltavou,Česká republika,Czechia,TRUE
Praha,Česká republika,Czechia,TRUE
Brno,Česká republika,Czechia,TRUE
Železná ruda,Česká republika,Czechia,TRUE
Praha,Česká republika,Czechia,TRUE
Punské jeskyně,Česká republika,Czechia,TRUE
Praha,Česká republika,Czechia,TRUE
Kašperk,Česká republika,Czechia,TRUE
Litomyšl,Česká republika,Czechia,TRUE
Litomyšl,Česká republika,Czechia,TRUE
Rejvíz,Česká republika,Czechia,TRUE
Praha,Česká republika,Czechia,TRUE
Telč,Česká republika,Czechia,TRUE
Český krumlov,Česká republika,Czechia,TRUE
Mariánské lázně,Česká republika,Czechia,TRUE
Rožnov pod Radhoštěm,Česká republika,Czechia,TRUE
Praha,Česká republika,Czechia,TRUE
Strážnice,Česká republika,Czechia,TRUE
Třeboň,Česká republika,Czechia,TRUE
Loket,Česká republika,Czechia,TRUE
Tábor,Česká republika,Czechia,TRUE
Luhačovice,Česká republika,Czechia,TRUE
Bohumín,Česká republika,Czechia,TRUE
Praha,Česká republika,Czechia,TRUE
Tábor,Česká republika,Czechia,TRUE
Ratibořice,Česká republika,Czechia,TRUE
Nové město na Moravě,Česká republika,Czechia,TRUE
Uherský brod,Česká republika,Czechia,TRUE
Litomyšl,Česká republika,Czechia,TRUE
Bečov nad teplou,Česká republika,Czechia,TRUE
Schrotovy lázně,Česká republika,Czechia,TRUE
Havířov,Česká republika,Czechia,TRUE
Zámek velké losyny,Česká republika,Czechia,TRUE
Schrotovy lázně,Česká republika,Czechia,TRUE
Nový jičín,Česká republika,Czechia,TRUE
Soláň,Česká republika,Czechia,TRUE
Orlová,Česká republika,Czechia,TRUE
Orlová,Česká republika,Czechia,TRUE
Červená lhota,Česká republika,Czechia,TRUE
Zlaté hory,Česká republika,Czechia,TRUE
Ohrada,Česká republika,Czechia,TRUE
Olomouc,Česká republika,Czechia,TRUE
Milotice,Česká republika,Czechia,TRUE
Milotice,Česká republika,Czechia,TRUE
Pustevny,Česká republika,Czechia,TRUE
Ostrava,Česká republika,Czechia,TRUE
Havířov,Česká republika,Czechia,TRUE
Mikulov,Česká republika,Czechia,TRUE
Litomyšl,Česká republika,Czechia,TRUE
Šternberk,Česká republika,Czechia,TRUE
Buchlov,Česká republika,Czechia,TRUE
Adržpach,Česká republika,Czechia,TRUE
Rožnov pod Radhoštěm,Česká republika,Czechia,TRUE
Telč,Česká republika,Czechia,TRUE
Žamberk,Česká republika,Czechia,TRUE
České budějovice,Česká republika,Czechia,TRUE
Punkevní jeskyně,Česká republika,Czechia,TRUE
Karviná,Česká republika,Czechia,TRUE
Zlatý hostýn,Česká republika,Czechia,TRUE
Klatovy,Česká republika,Czechia,TRUE
Orlík,Česká republika,Czechia,TRUE
Český krumlov,Česká republika,Czechia,TRUE
Těšín,Česká republika,Czechia,TRUE
Praha,Česká republika,Czechia,TRUE
Strážnice,Česká republika,Czechia,TRUE
Praha,Česká republika,Czechia,TRUE
Litoměřice,Česká republika,Czechia,TRUE
Zlaté hory,Česká republika,Czechia,TRUE
Zlaté hory,Česká republika,Czechia,TRUE
Těšín,Česká republika,Czechia,TRUE
Praha,Česká republika,Czechia,TRUE
Karlovy vary,Česká republika,Czechia,TRUE
Karlovy vary,Česká republika,Czechia,TRUE
Teplá,Česká republika,Czechia,TRUE
Konopiště,Česká republika,Czechia,TRUE
Jindřichův Hradec,Česká republika,Czechia,TRUE
Ostravice,Česká republika,Czechia,TRUE
Mariánské lázně,Česká republika,Czechia,TRUE
Karlova studánka,Česká republika,Czechia,TRUE
Olomouc,Česká republika,Czechia,TRUE
Karlovy vary,Česká republika,Czechia,TRUE
Lednice,Česká republika,Czechia,TRUE
Zlatá koruna,Česká republika,Czechia,TRUE
Zlatá koruna,Česká republika,Czechia,TRUE
Cheb,Česká republika,Czechia,TRUE
Hluboká nad vltavou,Česká republika,Czechia,TRUE
Praha,Česká republika,Czechia,TRUE
Praha,Česká republika,Czechia,TRUE
Praha,Česká republika,Czechia,TRUE
Praha,Česká republika,Czechia,TRUE
České budějovice,Česká republika,Czechia,TRUE
Terezín,Česká republika,Czechia,TRUE
Třeboň,Česká republika,Czechia,TRUE
Skalice,Česká republika,Czechia,TRUE
Hodonín,Česká republika,Czechia,TRUE
Milotice,Česká republika,Czechia,TRUE
Františkovy lázně,Česká republika,Czechia,TRUE
Žamberk,Česká republika,Czechia,TRUE
Jurkovičova rozhledna,Česká republika,Czechia,TRUE
Bouzov,Česká republika,Czechia,TRUE
Lednice,Česká republika,Czechia,TRUE
Vyšší brod,Česká republika,Czechia,TRUE
Valašské meziříčí,Česká republika,Czechia,TRUE
Kašperk,Česká republika,Czechia,TRUE
Praha,Česká republika,Czechia,TRUE
Macocha,Česká republika,Czechia,TRUE
Karlova studánka,Česká republika,Czechia,TRUE
Praha,Česká republika,Czechia,TRUE
Králíky,Česká republika,Czechia,TRUE
České budějovice,Česká republika,Czechia,TRUE
Frymburk,Česká republika,Czechia,TRUE
Ostrava,Česká republika,Czechia,TRUE
Mikulov,Česká republika,Czechia,TRUE
Karviná,Česká republika,Czechia,TRUE
Pravčická brána,Česká republika,Czechia,TRUE
Velehrad,Česká republika,Czechia,TRUE
Lipno,Česká republika,Czechia,TRUE
Luhačovice,Česká republika,Czechia,TRUE
Hluboká nad Vltavou,Česká republika,Czechia,TRUE
Hluboká nad Vltavou,Česká republika,Czechia,TRUE
Český Krumlov,Česká republika,Czechia,TRUE
Svatý kopeček,Česká republika,Czechia,TRUE
Hluboká nad Vltavou,Česká republika,Czechia,TRUE
Lipno,Česká republika,Czechia,TRUE
Lednice,Česká republika,Czechia,TRUE
Svatý kopeček,Česká republika,Czechia,TRUE
České Budějovice,Česká republika,Czechia,TRUE
Karlovy Vary,Česká republika,Czechia,TRUE
Karlovy Vary,Česká republika,Czechia,TRUE
Svatý kopeček,Česká republika,Czechia,TRUE
Olomouc,Česká republika,Czechia,TRUE
Ostrava,Česká republika,Czechia,TRUE
Třeboň,Česká republika,Czechia,TRUE
Šternberk,Česká republika,Czechia,TRUE
Tachov,Česká republika,Czechia,TRUE
Velichovky,Česká republika,Czechia,TRUE
Sychrov,Česká republika,Czechia,TRUE
Letohrad,Česká republika,Czechia,TRUE
Třeboň,Česká republika,Czechia,TRUE
Soláň,Česká republika,Czechia,TRUE
Letohrad,Česká republika,Czechia,TRUE
Karviná,Česká republika,Czechia,TRUE
Náchod,Česká republika,Czechia,TRUE
Velhartice,Česká republika,Czechia,TRUE
Terezín,Česká republika,Czechia,TRUE
Horšovský Týn,Česká republika,Czechia,TRUE
Bečov nad Teplou,Česká republika,Czechia,TRUE
Litomyšl,Česká republika,Czechia,TRUE
Telč,Česká republika,Czechia,TRUE
Ostrava,Česká republika,Czechia,TRUE
JIčín,Česká republika,Czechia,TRUE
Poděbrady,Česká republika,Czechia,TRUE
Potštejn,Česká republika,Czechia,TRUE
Panská skála,Česká republika,Czechia,TRUE
Ostrava,Česká republika,Czechia,TRUE
Hrubá skála,Česká republika,Czechia,TRUE
Mariánské lázně,Česká republika,Czechia,TRUE
,Egypt,Egypt,TRUE
,Egypt,Egypt,TRUE
,Egypt,Egypt,TRUE
,Egypt,Egypt,TRUE
,Egypt,Egypt,TRUE
,Egypt,Egypt,TRUE
,Egypt,Egypt,TRUE
,Egypt,Egypt,TRUE
Talinn,Estonsko,Estonia,TRUE
,Estonsko,Estonia,TRUE
Helsinky,Finsko,Finland,TRUE
,Finsko,Finland,TRUE
Petrčane,Chorvatsko,Croatia,TRUE
Rovinj,Chorvatsko,Croatia,TRUE
Cirkvenice,Chorvatsko,Croatia,TRUE
Trogir,Chorvatsko,Croatia,TRUE
Zadar,Chorvatsko,Croatia,TRUE
Zadar,Chorvatsko,Croatia,TRUE
,Chorvatsko,Croatia,TRUE
,Chorvatsko,Croatia,TRUE
,Chorvatsko,Croatia,TRUE
,Chorvatsko,Croatia,TRUE
Krk,Chorvatsko,Croatia,TRUE
Krk,Chorvatsko,Croatia,TRUE
Krakoew,Chorvatsko,Croatia,TRUE
Bled,Chorvatsko,Croatia,TRUE
Pag,Chorvatsko,Croatia,TRUE
Sardinie,Itálie,Italy,TRUE
Sardinie,Itálie,Italy,TRUE
Stromboli,Itálie,Italy,TRUE
Bibione,Itálie,Italy,TRUE
Bonifacio,Itálie,Italy,TRUE
Alghero,Itálie,Italy,TRUE
Sicílie,Itálie,Italy,TRUE
Florencie,Itálie,Italy,TRUE
Pisa,Itálie,Italy,TRUE
Benátky,Itálie,Italy,TRUE
Tropea,Itálie,Italy,TRUE
Florencie,Itálie,Italy,TRUE
Doha,Katar,Qatar,TRUE
Doha,Katar,Qatar,TRUE
Doha,Katar,Qatar,TRUE
,Keňa,Kenya,TRUE
,Keňa,Kenya,TRUE
Vilnius,Litva,Lithuania,TRUE
Riga,Lotyšsko,Latvia,TRUE
Zalakaros,Maďarsko,Hungary,TRUE
,Maďarsko,Hungary,TRUE
,Maďarsko,Hungary,TRUE
Budapešť,Maďarsko,Hungary,TRUE
Balaton,Maďarsko,Hungary,TRUE
Eger,Maďarsko,Hungary,TRUE
Budapešť,Maďarsko,Hungary,TRUE
,Malta,Malta,TRUE
,Malta,Malta,TRUE
,Malta,Malta,TRUE
,Mauricius,Mauritius,TRUE
,Mauricius,Mauritius,TRUE
,Nizozemí,Netherlands,TRUE
,Nizozemí,Netherlands,TRUE
,Nizozemí,Netherlands,TRUE
,Norsko,Norway,TRUE
Białka Tatrzańska,Polsko,Poland,TRUE
Białka Tatrzańska,Polsko,Poland,TRUE
Białka Tatrzańska,Polsko,Poland,TRUE
Białka Tatrzańska,Polsko,Poland,TRUE
Białka Tatrzańska,Polsko,Poland,TRUE
Białka Tatrzańska,Polsko,Poland,TRUE
Białka Tatrzańska,Polsko,Poland,TRUE
Białka Tatrzańska,Polsko,Poland,TRUE
Białka Tatrzańska,Polsko,Poland,TRUE
Zakopane,Polsko,Poland,TRUE
Wisla,Polsko,Poland,TRUE
Krakow,Polsko,Poland,TRUE
Gdaňsk,Polsko,Poland,TRUE
,Polsko,Poland,TRUE
,Polsko,Poland,TRUE
,Polsko,Poland,TRUE
Gdaňsk,Polsko,Poland,TRUE
,Polsko,Poland,TRUE
Zakopane,Polsko,Poland,TRUE
Malbork,Polsko,Poland,TRUE
,Portugalsko,Portugal,TRUE
Lisabon,Portugalsko,Portugal,TRUE
Lisabon,Portugalsko,Portugal,TRUE
Vídeň,Rakousko,Austria,TRUE
Vídeň,Rakousko,Austria,TRUE
,Rakousko,Austria,TRUE
Hintertux,Rakousko,Austria,TRUE
Hintertux,Rakousko,Austria,TRUE
Hintertux,Rakousko,Austria,TRUE
Hintertux,Rakousko,Austria,TRUE
,Rumunsko,Romania,TRUE
,Rumunsko,Romania,TRUE
Rodos,Řecko,Greece,TRUE
Thassos,Řecko,Greece,TRUE
Mallorca,Řecko,Greece,TRUE
Mallorca,Řecko,Greece,TRUE
Mallorca,Řecko,Greece,TRUE
Kos,Řecko,Greece,TRUE
Kos,Řecko,Greece,TRUE
Kos,Řecko,Greece,TRUE
Kos,Řecko,Greece,TRUE
Kréta,Řecko,Greece,TRUE
Kréta,Řecko,Greece,TRUE
Rhodos,Řecko,Greece,TRUE
Thassos,Řecko,Greece,TRUE
Allonissos,Řecko,Greece,TRUE
,Řecko,Greece,TRUE
Corfu,Řecko,Greece,TRUE
Mallorka,Řecko,Greece,TRUE
Pieria,Řecko,Greece,TRUE
Dubaj,Saudská Arábie,Saudi Arabia,TRUE
Dubaj,Saudská Arábie,Saudi Arabia,TRUE
,Slovensko,Slovakia,TRUE
Žilina,Slovensko,Slovakia,TRUE
Bratislava,Slovensko,Slovakia,TRUE
Lublaň,Slovinsko,Slovenia,TRUE
,Slovinsko,Slovenia,TRUE
Mojácar,Španělsko,Spain,TRUE
La Manga,Španělsko,Spain,TRUE
Barcelona,Španělsko,Spain,TRUE
Malaga,Španělsko,Spain,TRUE
Malaga,Španělsko,Spain,TRUE
Malaga,Španělsko,Spain,TRUE
Alicante,Španělsko,Spain,TRUE
,Tunisko,Tunisia,TRUE
,Tunisko,Tunisia,TRUE
,Tunisko,Tunisia,TRUE
,Tunisko,Tunisia,TRUE
,Turecko,Turkey,TRUE
,Turecko,Turkey,TRUE
,Turecko,Turkey,TRUE
,Turecko,Turkey,TRUE
Sutomore,Turecko,Turkey,TRUE
Belek,Turecko,Turkey,TRUE
Side,Turecko,Turkey,TRUE
Side,Turecko,Turkey,TRUE
Side,Turecko,Turkey,TRUE
Side,Turecko,Turkey,TRUE
Kemer,Turecko,Turkey,TRUE
Kemer,Turecko,Turkey,TRUE
Istanbul,Turecko,Turkey,TRUE
Alanya,Turecko,Turkey,TRUE
Side,Turecko,Turkey,TRUE
,Turecko,Turkey,TRUE
,Turecko,Turkey,TRUE
,Turecko,Turkey,TRUE
,Turecko,Turkey,TRUE
,Turecko,Turkey,TRUE
,Turecko,Turkey,TRUE
,Turecko,Turkey,TRUE
,Turecko,Turkey,TRUE
,Turecko,Turkey,TRUE
,Turecko,Turkey,TRUE
Alanya,Turecko,Turkey,TRUE
,Turecko,Turkey,TRUE
,Turecko,Turkey,TRUE
,Turecko,Turkey,TRUE
Alanya,Turecko,Turkey,TRUE
,Turecko,Turkey,TRUE
,Turecko,Turkey,TRUE
,Turecko,Turkey,TRUE
,Turecko,Turkey,TRUE
,Turecko,Turkey,TRUE
,Turecko,Turkey,TRUE
,Turecko,Turkey,TRUE
,Turecko,Turkey,TRUE
,Turecko,Turkey,TRUE
New York,USA,United States,TRUE
New York,USA,United States,TRUE
Las Vegas,USA,United States,TRUE
Florida,USA,United States,TRUE
Washington,USA,United States,TRUE
New York,USA,United States,TRUE
Miami,USA,United States,TRUE
Florida,USA,United States,TRUE
Londýn,Velká británie,United Kingdom,TRUE
Norfolk Broads,Velká británie,United Kingdom,TRUE